S.No,Title,Year,Rating
1,The Shawshank Redemption,1994,9.223420502468596
2,The Godfather,1972,9.148112492975777
3,The Godfather: Part II,1974,8.98035762237627
4,The Dark Knight,2008,8.97445834451507
5,12 Angry Men,1957,8.933583779145646
6,Schindler's List,1993,8.909249397418684
7,The Lord of the Rings: The Return of the King,2003,8.885868355725753
8,Pulp Fiction,1994,8.843267972288155
9,"Il buono, il brutto, il cattivo",1966,8.793587537652831
1, The Lord of the Rings: The Fellowship of the Ring,2001,8.777082616154305
11,Fight Club,1999,8.763988665990668
12,Forrest Gump,1994,8.753694380775043
13,Inception,2010,8.720753953074757
14,The Lord of the Rings: The Two Towers,2002,8.700562084096418
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.696170460665464
16,The Matrix,1999,8.64875372827823
17,Goodfellas,1990,8.643024956865963
18,One Flew Over the Cuckoo's Nest,1975,8.63632542473638
19,Shichinin no samurai,1954,8.602808372591458
20,Se7en,1995,8.591506875290522
21,La vita è bella,1997,8.583666257254553
22,Cidade de Deus,2002,8.579143368714677
23,The Silence of the Lambs,1991,8.575422334976015
24,It's a Wonderful Life,1946,8.574143956423084
25,Star Wars,1977,8.552561969508558
26,Saving Private Ryan,1998,8.550432281590266
27,The Green Mile,1999,8.539881256545415
28,Sen to Chihiro no kamikakushi,2001,8.539194315221462
29,Interstellar,2014,8.535421579896083
30,Gisaengchung,2019,8.528031992966241
31,Léon,1994,8.50797101649534
32,Seppuku,1962,8.494894403181238
33,The Usual Suspects,1995,8.494579100708128
34,The Lion King,1994,8.491768711120608
35,The Pianist,2002,8.488043938094872
36,Back to the Future,1985,8.486729592470171
37,Terminator 2: Judgment Day,1991,8.486605549493335
38,American History X,1998,8.482275268684418
39,Modern Times,1936,8.481910848861762
40,Psycho,1960,8.476867816236933
41,Gladiator,2000,8.476839969520373
42,The Departed,2006,8.47234650326734
43,City Lights,1931,8.472253155868342
44,The Intouchables,2011,8.468950129970793
45,Whiplash,2014,8.468412462858186
46,Hotaru no haka,1988,8.460734102752589
47,The Prestige,2006,8.459709963265245
48,Once Upon a Time in the West,1968,8.445800231083233
49,Casablanca,1942,8.43675222373165
50,Nuovo Cinema Paradiso,1988,8.432574358195367
51,Rear Window,1954,8.427429613337479
52,Alien,1979,8.420559260342719
53,Apocalypse Now,1979,8.41699348572919
54,Memento,2000,8.411964203735455
55,The Great Dictator,1940,8.409211706277215
56,Raiders of the Lost Ark,1981,8.405846044002637
57,Hamilton,2020,8.401142921725075
58,Django Unchained,2012,8.392646548841798
59,The Lives of Others,2006,8.390199827689424
60,Paths of Glory,1957,8.376607415162251
61,Joker,2019,8.375726817631506
62,WALL·E,2008,8.370131949152702
63,The Shining,1980,8.366081217060302
64,Avengers: Infinity War,2018,8.36270122983904
65,Sunset Blvd,1950,8.359417014935655
66,Witness for the Prosecution,1957,8.355650842578404
67,Oldeuboi,2003,8.349691238840652
68,Mononoke-hime,1997,8.349369138410673
69,Spider-Man: Into the Spider-Verse,2018,8.349025221743538
70,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.345924798904305
71,The Dark Knight Rises,2012,8.331318264871443
72,Once Upon a Time in America,1984,8.329511664394717
73,Kimi no na wa,2016,8.32242802388985
74,Aliens,1986,8.321856570189905
75,Coco,2017,8.318328353339362
76,Avengers: Endgame,2019,8.313083204205984
77,American Beauty,1999,8.304190379905014
78,Braveheart,1995,8.301843652929074
79,Capharnaüm,2018,8.300070666792212
80,Das Boot,1981,8.298536135952903
81,3 Idiots,2009,8.297614547582475
82,Toy Story,1995,8.297273010054031
83,Tengoku to jigoku,1963,8.295615903821524
84,Amadeus,1984,8.29037643373761
85,Inglourious Basterds,2009,8.287071679759412
86,Star Wars: Episode VI - Return of the Jedi,1983,8.283759262577181
87,Good Will Hunting,1997,8.282612352645174
88,Taare Zameen Par,2007,8.281815821284024
89,Reservoir Dogs,1992,8.278743798104507
90,2001: A Space Odyssey,1968,8.268884466655724
91,Requiem for a Dream,2000,8.26543196226141
92,Vertigo,1958,8.261862281741251
93,M - Eine Stadt sucht einen Mörder,1931,8.261701764265517
94,Jagten,2012,8.260781658408833
95,Eternal Sunshine of the Spotless Mind,2004,8.257998796217073
96,Citizen Kane,1941,8.255354949665039
97,Dangal,2016,8.254208747377275
98,Full Metal Jacket,1987,8.246593352449144
99,Ladri di biciclette,1948,8.24651171255994
10, Singin' in the Rain,1952,8.2463206133231
